Ticker,Name
EQR, Equity Residential
WELL,    Welltower Inc
MAA, Mid-America Apt Communties
DRE, Duke Realty Corp
BXP, Boston Properties Inc
EXR, Extra Space Storage Inc
ESS, Essex Property Trust
HST, Host Hotels & Resorts Inc
AMT, American Tower Corp A
PLD, ProLogis Inc
O,   Realty Income Corp
CCI, Crown Castle Intl Corp
KIM, Kimco Realty Corp
SPG, Simon Property Group A
PSA, Public Storage
PEAK,    Healthpeak Properties Inc.
UDR, UDR Inc
SBAC,    SBA Communications Corp
WY,  Weyerhaeuser Co
AVB, AvalonBay Communities Inc
REG, Regency Centers Corp
FRT, Federal Realty Invt Trust
DLR, Digital Realty Trust
ARE, Alexandria Real Estate Eqty
VTR, Ventas Inc
EQIX,    Equinix Inc
CBRE,    CBRE Group Inc.
IRM, Iron Mountain Inc
SLG, SL Green Realty Corp
VNO, Vornado Realty Trust
