Ticker,Name
UNH,UnitedHealth Group Incorporated
HD,Home Depot Inc.
GS,Goldman Sachs Group Inc.
AMGN,Amgen Inc.
CRM,salesforce.com inc.
BA,Boeing Company
MSFT,Microsoft Corporation
MCD,McDonald's Corporation
V,Visa Inc. Class A
HON,Honeywell International Inc.
CAT,Caterpillar Inc.
MMM,3M Company
DIS,Walt Disney Company
JNJ,Johnson & Johnson
WMT,Walmart Inc.
PG,Procter & Gamble Company
TRV,Travelers Companies Inc.
NKE,NIKE Inc. Class B
AAPL,Apple Inc.
IBM,International Business Machines Corporation
JPM,JPMorgan Chase & Co.
AXP,American Express Company
CVX,Chevron Corporation
MRK,Merck & Co. Inc.
VZ,Verizon Communications Inc.
DOW,Dow Inc.
KO,Coca-Cola Company
INTC,Intel Corporation
CSCO,Cisco Systems Inc.
WBA,Walgreens Boots Alliance Inc
